PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGP,THPM,THPA,THPP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD,TD,PLMIN,LOOKUP
LEXIE BROWN,LAS,29,16,4,12,23.7,8.1,2.6,8.2,32.1,1.3,4.3,30.4,1.5,1.7,88.9,0.1,2.3,2.3,3.3,1.9,1.1,0.1,1.4,17.4,0,0,-2.5,1628882
MYISHA HINES-ALLEN,MIN,29,40,17,23,18.7,7.8,3.0,6.1,49.2,0.5,1.3,36.0,1.4,1.7,83.3,1.1,3.6,4.7,2.6,1.4,0.7,0.1,2.0,17.0,2,0,-3.0,1628899
AALIYAH EDWARDS,WAS,22,34,11,23,21.8,7.6,3.0,6.2,49.0,0.0,0.2,0.0,1.5,2.4,65.0,1.4,4.2,5.6,1.4,1.5,0.7,0.8,2.7,17.7,3,0,-3.7,1642290
KIA NURSE,LAS,28,40,8,32,20.3,7.6,2.6,6.6,38.8,1.3,4.0,33.1,1.2,1.5,79.3,0.4,1.2,1.6,1.3,1.2,0.5,0.0,1.8,12.8,0,0,-3.9,1628915
CAMERON BRINK,LAS,22,15,4,11,22.0,7.5,2.7,6.9,39.8,0.7,2.1,32.3,1.4,1.7,84.0,1.2,4.1,5.3,1.7,2.3,1.1,2.3,4.0,22.0,1,0,-4.8,1642287
SHATORI WALKER-KIMBROUGH,WAS,29,40,14,26,22.1,7.5,2.6,6.3,41.5,0.9,2.7,33.0,1.4,1.7,80.6,0.3,1.4,1.7,1.9,1.4,1.1,0.5,1.0,15.0,0,0,-1.9,1628278
MONIQUE BILLINGS,PHO,28,37,10,27,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4.0,5.8,1.4,1.8,0.7,0.5,2.3,17.2,5,0,-4.7,1628881
REBECCA ALLEN,PHO,31,18,11,7,24.9,7.4,2.9,7.0,42.1,1.4,3.9,35.7,0.1,0.2,66.7,0.7,3.2,3.9,1.1,1.0,0.9,0.7,1.9,17.1,0,0,-0.7,204296
JULIE VANLOO,WAS,31,40,14,26,23.2,7.4,2.7,7.7,34.6,1.8,5.6,32.4,0.3,0.4,66.7,0.1,1.5,1.6,4.3,2.6,0.5,0.0,2.2,16.1,0,0,-1.9,1642210
DANA EVANS,CHI,26,39,12,27,19.1,7.2,2.4,6.5,37.7,1.1,2.8,37.6,1.2,1.3,96.0,0.1,1.0,1.1,2.4,1.4,0.7,0.1,1.2,13.3,0,0,-6.1,1630389
JORDAN HORSTON,SEA,23,39,24,15,22.3,6.8,2.8,5.8,49.3,0.3,1.3,25.0,0.8,1.1,72.1,1.2,3.1,4.3,1.8,1.7,1.3,0.7,1.9,17.1,1,0,0.5,1641651
LEONIE FIEBICH,NYL,24,40,32,8,20.9,6.7,2.4,5.1,47.8,1.4,3.2,43.3,0.5,0.6,72.0,1.0,2.1,3.0,1.8,1.0,1.0,0.2,2.2,15.1,0,0,7.0,1630142
MICHAELA ONYENWERE,CHI,25,34,10,24,18.7,6.6,2.6,6.2,41.5,0.7,2.0,36.8,0.7,1.2,61.0,0.6,1.3,1.8,1.0,1.3,0.6,0.4,2.0,12.0,0,0,-3.2,1630446
